timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-01T00:00:00.000Z";"2024-05-01T23:59:59.999Z";"2024-05-01T18:54:00.000Z";"2024-05-01T08:25:00.000Z";"2781";1.0221943513;1.0532444875;0.974630099;1.030707591;495077511.31;2735383260.39;"2024-05-01T23:59:59.999Z"
"2024-04-30T00:00:00.000Z";"2024-04-30T23:59:59.999Z";"2024-04-30T00:56:00.000Z";"2024-04-30T19:28:00.000Z";"2781";1.0583973013;1.0683186147;0.9745898532;1.0221938689;394490468.63;2712840566.82;"2024-04-30T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-04-29T23:59:59.999Z";"2024-04-29T01:40:00.000Z";"2024-04-29T21:39:00.000Z";"2781";1.1008703904;1.1095742468;1.0362167396;1.058395312;289705685.97;2808922281.94;"2024-04-29T23:59:59.999Z"
"2024-04-28T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-28T03:04:00.000Z";"2024-04-28T23:42:00.000Z";"2781";1.1240880342;1.1689040932;1.0978881854;1.1008703904;312533332.11;2921643285.76;"2024-04-28T23:59:59.999Z"
"2024-04-27T00:00:00.000Z";"2024-04-27T23:59:59.999Z";"2024-04-27T18:04:00.000Z";"2024-04-27T01:19:00.000Z";"2781";1.0650667839;1.1258350303;1.0219340995;1.1240880342;340669189.4;2983261505;"2024-04-27T23:59:59.999Z"
"2024-04-26T00:00:00.000Z";"2024-04-26T23:59:59.999Z";"2024-04-26T14:19:00.000Z";"2024-04-26T13:22:00.000Z";"2781";1.0907939382;1.0925475679;1.0560069746;1.0650667839;218901585.6;2826622684.3;"2024-04-26T23:59:59.999Z"
"2024-04-25T00:00:00.000Z";"2024-04-25T23:59:59.999Z";"2024-04-25T00:35:00.000Z";"2024-04-25T13:22:00.000Z";"2781";1.1160040378;1.1224871902;1.0677251201;1.0907939382;260280425.44;2894900992.43;"2024-04-25T23:59:59.999Z"
"2024-04-24T00:00:00.000Z";"2024-04-24T23:59:59.999Z";"2024-04-24T05:06:00.000Z";"2024-04-24T23:07:00.000Z";"2781";1.1780004913;1.2018918876;1.1016096986;1.1159763395;321807335.5;2961807068.7;"2024-04-24T23:59:59.999Z"
"2024-04-23T00:00:00.000Z";"2024-04-23T23:59:59.999Z";"2024-04-23T01:08:00.000Z";"2024-04-23T23:08:00.000Z";"2781";1.2093248105;1.2196931797;1.1701655704;1.1780010256;209740952.68;3126343316.11;"2024-04-23T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-22T23:59:59.999Z";"2024-04-22T07:11:00.000Z";"2024-04-22T02:28:00.000Z";"2781";1.1889495541;1.2381925764;1.1850251764;1.2093248105;228798711;3209474742.56;"2024-04-22T23:59:59.999Z"
