timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-01T00:00:00.000Z";"2024-05-01T23:59:59.999Z";"2024-05-01T00:13:00.000Z";"2024-05-01T15:16:00.000Z";"2781";434.1571702858;435.3014599606;399.7004036087;424.0386339882;534977085.54;8353510734.99;"2024-05-01T23:59:59.999Z"
"2024-04-30T00:00:00.000Z";"2024-04-30T23:59:59.999Z";"2024-04-30T00:56:00.000Z";"2024-04-30T18:32:00.000Z";"2781";465.611253863;469.6157345512;421.2177965572;434.1571702858;462026011.55;8552635760.33;"2024-04-30T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-04-29T23:59:59.999Z";"2024-04-29T01:55:00.000Z";"2024-04-29T12:39:00.000Z";"2781";470.6212731512;473.7924236125;448.3016941683;465.6100074591;330553401.27;9172050081.91;"2024-04-29T23:59:59.999Z"
"2024-04-28T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-28T03:16:00.000Z";"2024-04-28T23:43:00.000Z";"2781";477.4198364967;486.8470117671;468.8340854705;470.6212731512;236288399.04;9270559621.62;"2024-04-28T23:59:59.999Z"
"2024-04-27T00:00:00.000Z";"2024-04-27T23:59:59.999Z";"2024-04-27T00:17:00.000Z";"2024-04-27T11:07:00.000Z";"2781";482.4371149584;484.7651865543;466.7556492002;477.4198364967;309938819.12;9404259205.49;"2024-04-27T23:59:59.999Z"
"2024-04-26T00:00:00.000Z";"2024-04-26T23:59:59.999Z";"2024-04-26T19:01:00.000Z";"2024-04-26T01:22:00.000Z";"2781";478.7244586458;492.730993766;467.885837228;482.4371149584;300240918.25;9502836731.83;"2024-04-26T23:59:59.999Z"
"2024-04-25T00:00:00.000Z";"2024-04-25T23:59:59.999Z";"2024-04-25T21:37:00.000Z";"2024-04-25T13:22:00.000Z";"2781";479.0152387981;485.6326340843;467.7991808304;478.7244586458;337139336.35;9429479046.36;"2024-04-25T23:59:59.999Z"
"2024-04-24T00:00:00.000Z";"2024-04-24T23:59:59.999Z";"2024-04-24T04:55:00.000Z";"2024-04-24T23:05:00.000Z";"2781";505.4406563987;511.3694515676;474.4481629804;479.0196603956;365292368.17;9435006250.18;"2024-04-24T23:59:59.999Z"
"2024-04-23T00:00:00.000Z";"2024-04-23T23:59:59.999Z";"2024-04-23T00:02:00.000Z";"2024-04-23T23:08:00.000Z";"2781";522.2345817938;522.8160663688;502.9811206157;505.4361358508;317009724.81;9955059659.8;"2024-04-23T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-22T23:59:59.999Z";"2024-04-22T23:13:00.000Z";"2024-04-22T02:28:00.000Z";"2781";502.5209503241;528.0584588692;497.2891329725;522.2345817938;350700875.19;10285682629.61;"2024-04-22T23:59:59.999Z"
"2024-04-21T00:00:00.000Z";"2024-04-21T23:59:59.999Z";"2024-04-21T03:13:00.000Z";"2024-04-21T16:43:00.000Z";"2781";515.5736178021;518.1041165134;495.4931233746;502.5209503241;333859362.19;9897170531.55;"2024-04-21T23:59:59.999Z"
"2024-04-20T00:00:00.000Z";"2024-04-20T23:59:59.999Z";"2024-04-20T21:14:00.000Z";"2024-04-20T10:29:00.000Z";"2781";477.1157989912;522.0184663726;471.7188482678;515.573749381;481997718.57;10153884057.43;"2024-04-20T23:59:59.999Z"
"2024-04-19T00:00:00.000Z";"2024-04-19T23:59:59.999Z";"2024-04-19T20:01:00.000Z";"2024-04-19T02:31:00.000Z";"2781";483.3103390523;489.6918242965;446.0408590929;477.1127620457;592472882.19;9396150063.82;"2024-04-19T23:59:59.999Z"
"2024-04-18T00:00:00.000Z";"2024-04-18T23:59:59.999Z";"2024-04-18T14:32:00.000Z";"2024-04-18T00:38:00.000Z";"2781";463.6195532804;488.1336529967;454.8057065537;483.3103390523;492755083.74;9517921127.65;"2024-04-18T23:59:59.999Z"
"2024-04-17T00:00:00.000Z";"2024-04-17T23:59:59.999Z";"2024-04-17T00:52:00.000Z";"2024-04-17T16:08:00.000Z";"2781";487.4121200473;489.6588689048;449.1393551568;463.6148091234;557879246.79;9129942509.06;"2024-04-17T23:59:59.999Z"
"2024-04-16T00:00:00.000Z";"2024-04-16T23:59:59.999Z";"2024-04-16T00:19:00.000Z";"2024-04-16T16:22:00.000Z";"2781";507.9172161028;510.046017534;465.9005722061;487.4125737665;757483531.65;9598280923.24;"2024-04-16T23:59:59.999Z"
"2024-04-15T00:00:00.000Z";"2024-04-15T23:59:59.999Z";"2024-04-15T07:44:00.000Z";"2024-04-15T19:07:00.000Z";"2781";527.9008997772;566.6868860618;493.0061835311;507.9172161028;890446925.56;10001882010.88;"2024-04-15T23:59:59.999Z"
"2024-04-14T00:00:00.000Z";"2024-04-14T23:59:59.999Z";"2024-04-14T23:55:00.000Z";"2024-04-14T03:16:00.000Z";"2781";481.4837753788;529.7763531279;457.4591527111;527.9008997772;982260976.48;10395152319.52;"2024-04-14T23:59:59.999Z"
"2024-04-13T00:00:00.000Z";"2024-04-13T23:59:59.999Z";"2024-04-13T07:09:00.000Z";"2024-04-13T21:31:00.000Z";"2781";534.7593431808;551.1442394276;446.9825679146;481.4837753788;1241330162.86;9480906048.81;"2024-04-13T23:59:59.999Z"
"2024-04-12T00:00:00.000Z";"2024-04-12T23:59:59.999Z";"2024-04-12T02:47:00.000Z";"2024-04-12T18:40:00.000Z";"2781";614.3200509908;617.89137653;505.7551072977;534.7660716013;986769076.08;10529703913.75;"2024-04-12T23:59:59.999Z"
"2024-04-11T00:00:00.000Z";"2024-04-11T23:59:59.999Z";"2024-04-11T00:00:00.000Z";"2024-04-11T14:28:00.000Z";"2781";629.4675209046;629.4675209046;601.0624092336;614.3172328646;531145132.96;12096009981.14;"2024-04-11T23:59:59.999Z"
"2024-04-10T00:00:00.000Z";"2024-04-10T23:59:59.999Z";"2024-04-10T00:16:00.000Z";"2024-04-10T12:41:00.000Z";"2781";672.5881094636;672.7896168948;603.3048818071;629.4824500669;1161061008.05;12394087626.03;"2024-04-10T23:59:59.999Z"
"2024-04-09T00:00:00.000Z";"2024-04-09T23:59:59.999Z";"2024-04-09T14:25:00.000Z";"2024-04-09T08:13:00.000Z";"2781";680.7141523286;694.4516246515;659.2402638727;672.5899150192;942180379.95;13242929705.97;"2024-04-09T23:59:59.999Z"
"2024-04-08T00:00:00.000Z";"2024-04-08T23:59:59.999Z";"2024-04-08T12:03:00.000Z";"2024-04-08T14:41:00.000Z";"2781";684.9075842337;709.4932519106;680.1904202129;680.6609930846;884595692.56;13402549036.73;"2024-04-08T23:59:59.999Z"
"2024-04-07T00:00:00.000Z";"2024-04-07T23:59:59.999Z";"2024-04-07T00:46:00.000Z";"2024-04-07T06:31:00.000Z";"2781";695.1603766972;708.3209751483;675.7245673568;684.9078624016;715347977.7;13484868378.34;"2024-04-07T23:59:59.999Z"
"2024-04-06T00:00:00.000Z";"2024-04-06T23:59:59.999Z";"2024-04-06T09:15:00.000Z";"2024-04-06T00:01:00.000Z";"2781";657.8488841479;714.0624652167;657.7426681417;695.1603766972;1612294144.11;13686443494.24;"2024-04-06T23:59:59.999Z"
"2024-04-05T00:00:00.000Z";"2024-04-05T23:59:59.999Z";"2024-04-05T04:40:00.000Z";"2024-04-05T13:13:00.000Z";"2781";668.4983718236;713.0035732164;648.8736361089;657.8128928908;1899990157.32;12951603428.66;"2024-04-05T23:59:59.999Z"
