timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-01T00:00:00.000Z";"2024-05-01T23:59:59.999Z";"2024-05-01T00:12:00.000Z";"2024-05-01T15:59:00.000Z";"2781";5.1580799116;5.1626532144;4.6070067725;4.8858415478;272864704.59;16968249125.28;"2024-05-01T23:59:59.999Z"
"2024-04-30T00:00:00.000Z";"2024-04-30T23:59:59.999Z";"2024-04-30T00:55:00.000Z";"2024-04-30T19:59:00.000Z";"2781";5.3081697448;5.4139976891;5.0013186398;5.1581060845;259423705.4;17913565899.93;"2024-04-30T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-04-29T23:59:59.999Z";"2024-04-29T02:13:00.000Z";"2024-04-29T21:38:00.000Z";"2781";5.4229568973;5.4847597978;5.1795703608;5.3081289003;126154331.5;18433419543.75;"2024-04-29T23:59:59.999Z"
"2024-04-28T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-28T18:55:00.000Z";"2024-04-28T00:13:00.000Z";"2781";5.3994307138;5.5911502946;5.3854634468;5.4229568973;125234664.01;18830976699.8;"2024-04-28T23:59:59.999Z"
"2024-04-27T00:00:00.000Z";"2024-04-27T23:59:59.999Z";"2024-04-27T17:53:00.000Z";"2024-04-27T05:24:00.000Z";"2781";5.322044224;5.431167957;5.1769577869;5.3994307138;165795624.88;18748929096.98;"2024-04-27T23:59:59.999Z"
"2024-04-26T00:00:00.000Z";"2024-04-26T23:59:59.999Z";"2024-04-26T06:02:00.000Z";"2024-04-26T01:22:00.000Z";"2781";5.4097527441;5.4552069798;5.2783824565;5.322044224;168793234.36;18480116705.22;"2024-04-26T23:59:59.999Z"
"2024-04-25T00:00:00.000Z";"2024-04-25T23:59:59.999Z";"2024-04-25T01:07:00.000Z";"2024-04-25T10:47:00.000Z";"2781";5.5536657885;5.6250332325;5.1481539423;5.4097527441;242945506.66;18783949168.46;"2024-04-25T23:59:59.999Z"
"2024-04-24T00:00:00.000Z";"2024-04-24T23:59:59.999Z";"2024-04-24T06:32:00.000Z";"2024-04-24T16:32:00.000Z";"2781";5.7037626872;5.9734679234;5.4681481197;5.5535669066;273806057.7;19283404029.7;"2024-04-24T23:59:59.999Z"
"2024-04-23T00:00:00.000Z";"2024-04-23T23:59:59.999Z";"2024-04-23T02:16:00.000Z";"2024-04-23T08:13:00.000Z";"2781";5.9344212029;6.0596920303;5.4729097817;5.7037674147;295497595.55;19799571796.34;"2024-04-23T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-22T23:59:59.999Z";"2024-04-22T00:20:00.000Z";"2024-04-22T21:10:00.000Z";"2781";6.1440006315;6.2147320413;5.8301982836;5.9344212029;240589343.01;20599998340.79;"2024-04-22T23:59:59.999Z"
"2024-04-21T00:00:00.000Z";"2024-04-21T23:59:59.999Z";"2024-04-21T02:35:00.000Z";"2024-04-21T16:42:00.000Z";"2781";6.2172281607;6.2968649191;6.0113444345;6.1440006315;208390924.15;21327224325.21;"2024-04-21T23:59:59.999Z"
"2024-04-20T00:00:00.000Z";"2024-04-20T23:59:59.999Z";"2024-04-20T09:40:00.000Z";"2024-04-20T01:07:00.000Z";"2781";6.0765659335;6.3493276347;5.9330584977;6.2172281607;314342826.56;21581111316.98;"2024-04-20T23:59:59.999Z"
"2024-04-19T00:00:00.000Z";"2024-04-19T23:59:59.999Z";"2024-04-19T11:46:00.000Z";"2024-04-19T23:08:00.000Z";"2781";6.5093560013;7.2290599327;5.9894532637;6.0765548903;1140717248.76;21092574045.54;"2024-04-19T23:59:59.999Z"
"2024-04-18T00:00:00.000Z";"2024-04-18T23:59:59.999Z";"2024-04-18T21:21:00.000Z";"2024-04-18T06:46:00.000Z";"2781";6.0841029889;6.5985596602;5.8193454574;6.5093560013;438199382.75;22594581709.09;"2024-04-18T23:59:59.999Z"
"2024-04-17T00:00:00.000Z";"2024-04-17T23:59:59.999Z";"2024-04-17T05:39:00.000Z";"2024-04-17T16:08:00.000Z";"2781";6.3418465996;6.6707488386;6.0393922191;6.0840998083;428261504.2;21118245251.91;"2024-04-17T23:59:59.999Z"
"2024-04-16T00:00:00.000Z";"2024-04-16T23:59:59.999Z";"2024-04-16T01:38:00.000Z";"2024-04-16T16:14:00.000Z";"2781";6.5598712534;6.6778982324;5.9440329992;6.3418465996;481935483.37;22012660510.15;"2024-04-16T23:59:59.999Z"
"2024-04-15T00:00:00.000Z";"2024-04-15T23:59:59.999Z";"2024-04-15T05:51:00.000Z";"2024-04-15T19:05:00.000Z";"2781";6.762488041;7.2148260002;6.5411400247;6.5598712534;595783529.08;22769210062.5;"2024-04-15T23:59:59.999Z"
"2024-04-14T00:00:00.000Z";"2024-04-14T23:59:59.999Z";"2024-04-14T23:49:00.000Z";"2024-04-14T01:15:00.000Z";"2781";5.9486448564;6.7945811519;5.7417848952;6.762488041;658770775.97;23471360006.06;"2024-04-14T23:59:59.999Z"
"2024-04-13T00:00:00.000Z";"2024-04-13T23:59:59.999Z";"2024-04-13T05:25:00.000Z";"2024-04-13T20:10:00.000Z";"2781";6.6523365227;6.9419180919;5.3534847754;5.9486448564;898910547.51;20646437247.13;"2024-04-13T23:59:59.999Z"
"2024-04-12T00:00:00.000Z";"2024-04-12T23:59:59.999Z";"2024-04-12T03:39:00.000Z";"2024-04-12T18:37:00.000Z";"2781";7.2521084505;7.4568173507;5.3877595397;6.6523365227;746936694.13;23088562414.33;"2024-04-12T23:59:59.999Z"
"2024-04-11T00:00:00.000Z";"2024-04-11T23:59:59.999Z";"2024-04-11T05:55:00.000Z";"2024-04-11T01:27:00.000Z";"2781";6.7722975014;7.6522542248;6.7095279835;7.2521084505;748229369.51;25170046240.94;"2024-04-11T23:59:59.999Z"
"2024-04-10T00:00:00.000Z";"2024-04-10T23:59:59.999Z";"2024-04-10T09:34:00.000Z";"2024-04-10T03:08:00.000Z";"2781";6.6937828849;6.9524538386;6.4036232362;6.7722975014;531292512.2;23504615049.3;"2024-04-10T23:59:59.999Z"
"2024-04-09T00:00:00.000Z";"2024-04-09T23:59:59.999Z";"2024-04-09T09:48:00.000Z";"2024-04-09T01:16:00.000Z";"2781";6.3425548849;7.0809196733;6.3207996932;6.6937828849;786378293.2;23232036900.48;"2024-04-09T23:59:59.999Z"
"2024-04-08T00:00:00.000Z";"2024-04-08T23:59:59.999Z";"2024-04-08T23:01:00.000Z";"2024-04-08T00:38:00.000Z";"2781";5.3700721048;6.4976110674;5.3301128476;6.3425548849;559121631.08;22012836355.88;"2024-04-08T23:59:59.999Z"
