timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-05-01T00:00:00.000Z";"2024-05-01T23:59:59.999Z";"2024-05-01T18:59:00.000Z";"2024-05-01T08:32:00.000Z";"2781";0.4408151086;0.45608319;0.4195038337;0.4498658989;526114090.99;16034635872.78;"2024-05-01T23:59:59.999Z"
"2024-04-30T00:00:00.000Z";"2024-04-30T23:59:59.999Z";"2024-04-30T00:57:00.000Z";"2024-04-30T13:56:00.000Z";"2781";0.4573626105;0.4623854104;0.4277440036;0.4408119684;409016668.83;15712031402.85;"2024-04-30T23:59:59.999Z"
"2024-04-29T00:00:00.000Z";"2024-04-29T23:59:59.999Z";"2024-04-29T02:13:00.000Z";"2024-04-29T06:54:00.000Z";"2781";0.4604817086;0.4630611033;0.4481159208;0.4573648096;301014261.46;16301929970.93;"2024-04-29T23:59:59.999Z"
"2024-04-28T00:00:00.000Z";"2024-04-28T23:59:59.999Z";"2024-04-28T06:53:00.000Z";"2024-04-28T23:48:00.000Z";"2781";0.4670316686;0.4773354981;0.4599189443;0.4604744818;250671884.66;16413032574.69;"2024-04-28T23:59:59.999Z"
"2024-04-27T00:00:00.000Z";"2024-04-27T23:59:59.999Z";"2024-04-27T18:05:00.000Z";"2024-04-27T01:20:00.000Z";"2781";0.4627288822;0.468934626;0.4508863494;0.4670316686;313367219.68;16643886375.23;"2024-04-27T23:59:59.999Z"
"2024-04-26T00:00:00.000Z";"2024-04-26T23:59:59.999Z";"2024-04-26T06:02:00.000Z";"2024-04-26T22:58:00.000Z";"2781";0.4710200372;0.4781497924;0.4622347796;0.4627288822;317917276.01;16488828378.87;"2024-04-26T23:59:59.999Z"
"2024-04-25T00:00:00.000Z";"2024-04-25T23:59:59.999Z";"2024-04-25T00:46:00.000Z";"2024-04-25T13:23:00.000Z";"2781";0.4749006406;0.4792329036;0.4635686516;0.4710200372;348258880.11;16784282077.34;"2024-04-25T23:59:59.999Z"
"2024-04-24T00:00:00.000Z";"2024-04-24T23:59:59.999Z";"2024-04-24T05:10:00.000Z";"2024-04-24T23:06:00.000Z";"2781";0.5001955579;0.509839601;0.4706850891;0.4749098617;496433039.4;16922579567.77;"2024-04-24T23:59:59.999Z"
"2024-04-23T00:00:00.000Z";"2024-04-23T23:59:59.999Z";"2024-04-23T08:38:00.000Z";"2024-04-23T23:08:00.000Z";"2781";0.5168850982;0.5204214973;0.4985985011;0.5001963098;403597295.46;17822885768.42;"2024-04-23T23:59:59.999Z"
"2024-04-22T00:00:00.000Z";"2024-04-22T23:59:59.999Z";"2024-04-22T22:13:00.000Z";"2024-04-22T02:55:00.000Z";"2781";0.4992896537;0.5218066707;0.4968449695;0.5168850982;402921410.29;18415717586.27;"2024-04-22T23:59:59.999Z"
"2024-04-21T00:00:00.000Z";"2024-04-21T23:59:59.999Z";"2024-04-21T02:37:00.000Z";"2024-04-21T16:45:00.000Z";"2781";0.5059082883;0.5122656459;0.4915711933;0.4992923511;354417376.98;17787002802.59;"2024-04-21T23:59:59.999Z"
"2024-04-20T00:00:00.000Z";"2024-04-20T23:59:59.999Z";"2024-04-20T21:20:00.000Z";"2024-04-20T01:08:00.000Z";"2781";0.4687841417;0.507407146;0.4667749769;0.5059082883;536707765.58;18022784698.21;"2024-04-20T23:59:59.999Z"
"2024-04-19T00:00:00.000Z";"2024-04-19T23:59:59.999Z";"2024-04-19T13:49:00.000Z";"2024-04-19T02:50:00.000Z";"2781";0.4581434428;0.47526219;0.4257024158;0.4687844301;598092967.28;16700287924.65;"2024-04-19T23:59:59.999Z"
"2024-04-18T00:00:00.000Z";"2024-04-18T23:59:59.999Z";"2024-04-18T15:16:00.000Z";"2024-04-18T08:26:00.000Z";"2781";0.4442990088;0.4599050781;0.4364223737;0.458144184;409488158.33;16320308495.54;"2024-04-18T23:59:59.999Z"
